Type,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Normal or Better,Central Valley - Sacramento Valley,City of Folsom,,,,,,
Normal or Better,Central Valley - Sacramento Valley,City of Redding,,,,,,
Normal or Better,Central Valley - Sacramento Valley,City of Roseville,,,,,,
Normal or Better,Central Valley - Sacramento Valley,City of West Sacramento,,,,,,
Normal or Better,Central Valley - Sacramento Valley,Yuba City,,,,,,
Normal or Better,Central Valley - Sacramento Valley,El Dorado Irrigation District,,,,,,
Normal or Better,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,,,,,,
Normal or Better,Central Valley - Sacramento Valley,Placer County Water Agency,,,,,,
Normal or Better,Central Valley - Sacramento Valley,Sacramento County Water Agency,,,,,,
Normal or Better,Central Valley - Sacramento Valley,San Juan Water District,,,,,,
Normal or Better,Central Valley - Sacramento Valley,Shasta Contractors,,,,,,
Normal or Better,Central Valley - Sacramento Valley,Solano County Water Agency,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,City of Avenal,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,City of Coalinga,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,City of Fresno,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,City of Huron,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,City of Lindsay,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,City of Orange Cove,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,City of Tracy,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,Kern County Water Agency,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,,,,,,
Normal or Better,Central Valley - San Joaquin Valley,Stockton-East Water District,,,,,,
Normal or Better,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",,,,,,
Normal or Better,San Francisco Bay Area,Alameda County Water District,,,,,,
Normal or Better,San Francisco Bay Area,Contra Costa Water District,,,,,,
Normal or Better,San Francisco Bay Area,East Bay Municipal Utilities District,,,,,,
Normal or Better,San Francisco Bay Area,"San Benito County Water District, Zone 6",,,,,,
Normal or Better,San Francisco Bay Area,Santa Clara Valley Water District,,,,,,
Normal or Better,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,,,,,,
Normal or Better,Central Coast,Santa Barbara County Flood Control & Water Conservation District,,,,,,
Normal or Better,Southern California,Antelope Valley-East Kern Water Agency,,,,,,
Normal or Better,Southern California,Santa Clarita Water Division,,,,,,
Normal or Better,Southern California,Coachella Valley Water District,,,,,,
Normal or Better,Southern California,Crestline-Lake Arrowhead Water Agency,,,,,,
Normal or Better,Southern California,Desert Water Agency,,,,,,
Normal or Better,Southern California,Metropolitan Water District of Southern California,0,0,0,0,0,2020 UWMP Table 2-3
Normal or Better,Southern California,Mojave Water Agency,,,,,,
Normal or Better,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,,,,,,
Normal or Better,Southern California,San Bernardino Valley Municipal Water District,,,,,,
Normal or Better,Southern California,San Gabriel Valley Municipal Water District,,,,,,
Normal or Better,Southern California,San Gorgonio Pass Water Agency,,,,,,
Normal or Better,Southern California,Ventura County Watershed Protection District,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,City of Folsom,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,City of Redding,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,City of Roseville,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,City of West Sacramento,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,Yuba City,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,El Dorado Irrigation District,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,Placer County Water Agency,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,Sacramento County Water Agency,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,San Juan Water District,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,Shasta Contractors,,,,,,
Single Dry Year,Central Valley - Sacramento Valley,Solano County Water Agency,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,City of Avenal,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,City of Coalinga,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,City of Fresno,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,City of Huron,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,City of Lindsay,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,City of Orange Cove,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,City of Tracy,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,Kern County Water Agency,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,,,,,,
Single Dry Year,Central Valley - San Joaquin Valley,Stockton-East Water District,,,,,,
Single Dry Year,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",,,,,,
Single Dry Year,San Francisco Bay Area,Alameda County Water District,,,,,,
Single Dry Year,San Francisco Bay Area,Contra Costa Water District,,,,,,
Single Dry Year,San Francisco Bay Area,East Bay Municipal Utilities District,,,,,,
Single Dry Year,San Francisco Bay Area,"San Benito County Water District, Zone 6",,,,,,
Single Dry Year,San Francisco Bay Area,Santa Clara Valley Water District,,,,,,
Single Dry Year,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,,,,,,
Single Dry Year,Central Coast,Santa Barbara County Flood Control & Water Conservation District,,,,,,
Single Dry Year,Southern California,Antelope Valley-East Kern Water Agency,,,,,,
Single Dry Year,Southern California,Santa Clarita Water Division,,,,,,
Single Dry Year,Southern California,Coachella Valley Water District,,,,,,
Single Dry Year,Southern California,Crestline-Lake Arrowhead Water Agency,,,,,,
Single Dry Year,Southern California,Desert Water Agency,,,,,,
Single Dry Year,Southern California,Metropolitan Water District of Southern California,0,0,0,0,0,2020 UWMP Table 2-2.
Single Dry Year,Southern California,Mojave Water Agency,,,,,,
Single Dry Year,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,,,,,,
Single Dry Year,Southern California,San Bernardino Valley Municipal Water District,,,,,,
Single Dry Year,Southern California,San Gabriel Valley Municipal Water District,,,,,,
Single Dry Year,Southern California,San Gorgonio Pass Water Agency,,,,,,
Single Dry Year,Southern California,Ventura County Watershed Protection District,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,City of Folsom,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,City of Redding,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,City of Roseville,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,City of West Sacramento,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,Yuba City,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,El Dorado Irrigation District,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,Placer County Water Agency,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,Sacramento County Water Agency,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,San Juan Water District,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,Shasta Contractors,,,,,,
Multi-Dry Year,Central Valley - Sacramento Valley,Solano County Water Agency,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,City of Avenal,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,City of Coalinga,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,City of Fresno,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,City of Huron,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,City of Lindsay,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,City of Orange Cove,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,City of Tracy,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,Kern County Water Agency,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,,,,,,
Multi-Dry Year,Central Valley - San Joaquin Valley,Stockton-East Water District,,,,,,
Multi-Dry Year,San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",,,,,,
Multi-Dry Year,San Francisco Bay Area,Alameda County Water District,,,,,,
Multi-Dry Year,San Francisco Bay Area,Contra Costa Water District,,,,,,
Multi-Dry Year,San Francisco Bay Area,East Bay Municipal Utilities District,,,,,,
Multi-Dry Year,San Francisco Bay Area,"San Benito County Water District, Zone 6",,,,,,
Multi-Dry Year,San Francisco Bay Area,Santa Clara Valley Water District,,,,,,
Multi-Dry Year,Central Coast,San Luis Obispo County Flood Control & Water Conservation District,,,,,,
Multi-Dry Year,Central Coast,Santa Barbara County Flood Control & Water Conservation District,,,,,,
Multi-Dry Year,Southern California,Antelope Valley-East Kern Water Agency,,,,,,
Multi-Dry Year,Southern California,Santa Clarita Water Division,,,,,,
Multi-Dry Year,Southern California,Coachella Valley Water District,,,,,,
Multi-Dry Year,Southern California,Crestline-Lake Arrowhead Water Agency,,,,,,
Multi-Dry Year,Southern California,Desert Water Agency,,,,,,
Multi-Dry Year,Southern California,Metropolitan Water District of Southern California,0,0,0,0,0,2020 UWMP Table 2-2.
Multi-Dry Year,Southern California,Mojave Water Agency,,,,,,
Multi-Dry Year,Southern California,Palmdale Water District & Littlerock Creek Irrigation District,,,,,,
Multi-Dry Year,Southern California,San Bernardino Valley Municipal Water District,,,,,,
Multi-Dry Year,Southern California,San Gabriel Valley Municipal Water District,,,,,,
Multi-Dry Year,Southern California,San Gorgonio Pass Water Agency,,,,,,
Multi-Dry Year,Southern California,Ventura County Watershed Protection District,,,,,,
