Variable,Study Region,Contractor,Single-Dry or Better Years Coefficient A,Single-Dry or Better Years Coefficient B,Multiple Dry Years Coefficient A,Multiple Dry Years Coefficient A,Year of Cost Estimates,Notes
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Folsom,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Redding,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Roseville,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,City of West Sacramento,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,Yuba City,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,El Dorado Irrigation District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,Placer County Water Agency,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,Sacramento County Water Agency,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,San Juan Water District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,Shasta Contractors,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - Sacramento Valley,Solano County Water Agency,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Avenal,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Coalinga,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Fresno,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Huron,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Lindsay,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Orange Cove,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Tracy,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,Kern County Water Agency,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Valley - San Joaquin Valley,Stockton-East Water District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,2021,
Surface Water Cost ($/acre-foot),San Francisco Bay Area,Alameda County Water District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),San Francisco Bay Area,Contra Costa Water District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),San Francisco Bay Area,East Bay Municipal Utilities District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),San Francisco Bay Area,"San Benito County Water District, Zone 6",1,1,1,1,2021,
Surface Water Cost ($/acre-foot),San Francisco Bay Area,Santa Clara Valley Water District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Central Coast,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,Antelope Valley-East Kern Water Agency,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,Santa Clarita Water Division,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,Coachella Valley Water District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,Crestline-Lake Arrowhead Water Agency,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,Desert Water Agency,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,Metropolitan Water District of Southern California,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,Mojave Water Agency,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,San Bernardino Valley Municipal Water District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,San Gabriel Valley Municipal Water District,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,San Gorgonio Pass Water Agency,1,1,1,1,2021,
Surface Water Cost ($/acre-foot),Southern California,Ventura County Watershed Protection District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Folsom,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Redding,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Roseville,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,City of West Sacramento,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,Yuba City,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,El Dorado Irrigation District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,Placer County Water Agency,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,Sacramento County Water Agency,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,San Juan Water District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,Shasta Contractors,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - Sacramento Valley,Solano County Water Agency,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Avenal,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Coalinga,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Fresno,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Huron,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Lindsay,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Orange Cove,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Tracy,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,Kern County Water Agency,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Valley - San Joaquin Valley,Stockton-East Water District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,2021,
Groundwater Cost ($/acre-foot),San Francisco Bay Area,Alameda County Water District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),San Francisco Bay Area,Contra Costa Water District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),San Francisco Bay Area,East Bay Municipal Utilities District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),San Francisco Bay Area,"San Benito County Water District, Zone 6",1,1,1,1,2021,
Groundwater Cost ($/acre-foot),San Francisco Bay Area,Santa Clara Valley Water District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Central Coast,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,Antelope Valley-East Kern Water Agency,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,Santa Clarita Water Division,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,Coachella Valley Water District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,Crestline-Lake Arrowhead Water Agency,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,Desert Water Agency,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,Metropolitan Water District of Southern California,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,Mojave Water Agency,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,San Bernardino Valley Municipal Water District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,San Gabriel Valley Municipal Water District,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,San Gorgonio Pass Water Agency,1,1,1,1,2021,
Groundwater Cost ($/acre-foot),Southern California,Ventura County Watershed Protection District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Folsom,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Redding,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Roseville,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,City of West Sacramento,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,Yuba City,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,El Dorado Irrigation District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,Placer County Water Agency,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,Sacramento County Water Agency,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,San Juan Water District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,Shasta Contractors,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - Sacramento Valley,Solano County Water Agency,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Avenal,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Coalinga,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Fresno,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Huron,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Lindsay,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Orange Cove,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Tracy,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,Kern County Water Agency,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Valley - San Joaquin Valley,Stockton-East Water District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,2021,
Recycled Cost ($/acre-foot),San Francisco Bay Area,Alameda County Water District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),San Francisco Bay Area,Contra Costa Water District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),San Francisco Bay Area,East Bay Municipal Utilities District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),San Francisco Bay Area,"San Benito County Water District, Zone 6",1,1,1,1,2021,
Recycled Cost ($/acre-foot),San Francisco Bay Area,Santa Clara Valley Water District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Central Coast,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,Antelope Valley-East Kern Water Agency,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,Santa Clarita Water Division,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,Coachella Valley Water District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,Crestline-Lake Arrowhead Water Agency,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,Desert Water Agency,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,Metropolitan Water District of Southern California,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,Mojave Water Agency,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,San Bernardino Valley Municipal Water District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,San Gabriel Valley Municipal Water District,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,San Gorgonio Pass Water Agency,1,1,1,1,2021,
Recycled Cost ($/acre-foot),Southern California,Ventura County Watershed Protection District,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Folsom,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Redding,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,City of Roseville,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,City of West Sacramento,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,Yuba City,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,El Dorado Irrigation District,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,Placer County Water Agency,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,Sacramento County Water Agency,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,San Juan Water District,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,Shasta Contractors,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - Sacramento Valley,Solano County Water Agency,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Avenal,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Coalinga,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Fresno,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Huron,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Lindsay,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Orange Cove,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,City of Tracy,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,Kern County Water Agency,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),Central Valley - San Joaquin Valley,Stockton-East Water District,1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,2021,
Potable Reuse Cost ($/acre-foot),San Francisco Bay Area,Alameda County Water District,1,1,1,1,2021,
